Timestamp,How many classes do you have on Tuesdays?,What year are you?
2/6/2025 11:33:57,3,Sophomore
2/6/2025 11:37:39,3,First-year
2/6/2025 11:40:55,2,Senior
2/6/2025 11:42:05,3,First-year
2/6/2025 11:42:46,3,Senior
2/6/2025 11:43:28,3,Senior
2/6/2025 11:44:41,3,First-year
2/6/2025 11:44:49,3,First-year
2/6/2025 11:44:51,2,Sophomore
2/6/2025 11:44:51,3,Sophomore
2/6/2025 11:44:52,5,First-year
2/6/2025 11:44:56,2,Junior
2/6/2025 11:44:58,2,Sophomore
2/6/2025 11:44:59,2,First-year
2/6/2025 11:45:01,1,Sophomore
2/6/2025 11:45:03,3,First-year
2/6/2025 11:45:04,3,Senior
2/6/2025 11:45:06,2,First-year
2/6/2025 11:45:07,2,First-year
2/6/2025 11:45:08,3,Sophomore
2/6/2025 11:45:09,3,Sophomore
2/6/2025 11:45:11,4,First-year
2/6/2025 11:45:12,3,First-year
2/6/2025 11:45:15,4,First-year
2/6/2025 11:45:15,4,Sophomore
2/6/2025 11:45:15,3,First-year
2/6/2025 11:45:16,4,First-year
2/6/2025 11:45:17,2,Sophomore
2/6/2025 11:45:17,3,First-year
2/6/2025 11:45:17,3,Sophomore
2/6/2025 11:45:17,4,Sophomore
2/6/2025 11:45:18,1,Sophomore
2/6/2025 11:45:18,3,Sophomore
2/6/2025 11:45:18,4,First-year
2/6/2025 11:45:19,3,First-year
2/6/2025 11:45:20,3,Senior
2/6/2025 11:45:20,2,First-year
2/6/2025 11:45:21,3,First-year
2/6/2025 11:45:21,3,First-year
2/6/2025 11:45:21,4,First-year
2/6/2025 11:45:22,3,Sophomore
2/6/2025 11:45:22,4,First-year
2/6/2025 11:45:22,2,Sophomore
2/6/2025 11:45:22,3,Sophomore
2/6/2025 11:45:23,3,Sophomore
2/6/2025 11:45:23,3,Senior
2/6/2025 11:45:23,3,Sophomore
2/6/2025 11:45:23,3,First-year
2/6/2025 11:45:24,2,Sophomore
2/6/2025 11:45:25,2,First-year
2/6/2025 11:45:25,3,Sophomore
2/6/2025 11:45:26,2,First-year
2/6/2025 11:45:27,3,Junior
2/6/2025 11:45:27,2,Sophomore
2/6/2025 11:45:27,5,First-year
2/6/2025 11:45:28,3,Sophomore
2/6/2025 11:45:28,3,First-year
2/6/2025 11:45:28,3,First-year
2/6/2025 11:45:29,3,First-year
2/6/2025 11:45:29,3,First-year
2/6/2025 11:45:29,3,First-year
2/6/2025 11:45:29,2,First-year
2/6/2025 11:45:29,2,Sophomore
2/6/2025 11:45:30,2,First-year
2/6/2025 11:45:31,1,Junior
2/6/2025 11:45:31,3,Sophomore
2/6/2025 11:45:32,3,First-year
2/6/2025 11:45:33,2,First-year
2/6/2025 11:45:33,3,Junior
2/6/2025 11:45:34,3,Sophomore
2/6/2025 11:45:34,2,First-year
2/6/2025 11:45:35,3,Sophomore
2/6/2025 11:45:35,3,Sophomore
2/6/2025 11:45:35,2,First-year
2/6/2025 11:45:36,Three,Sophomore
2/6/2025 11:45:36,2,Sophomore
2/6/2025 11:45:36,3,First-year
2/6/2025 11:45:37,2,Senior
2/6/2025 11:45:37,3,Senior
2/6/2025 11:45:37,2,First-year
2/6/2025 11:45:37,3,Sophomore
2/6/2025 11:45:38,3,Sophomore
2/6/2025 11:45:38,3,Sophomore
2/6/2025 11:45:39,4,First-year
2/6/2025 11:45:39,4,Sophomore
2/6/2025 11:45:39,2,First-year
2/6/2025 11:45:39,2,First-year
2/6/2025 11:45:40,TWO MANY ,Junior
2/6/2025 11:45:40,3,First-year
2/6/2025 11:45:41,4,Junior
2/6/2025 11:45:41,3,First-year
2/6/2025 11:45:41,3,First-year
2/6/2025 11:45:42,2,First-year
2/6/2025 11:45:42,3,First-year
2/6/2025 11:45:42,3,First-year
2/6/2025 11:45:44,2,First-year
2/6/2025 11:45:44,2,Sophomore
2/6/2025 11:45:46,3,First-year
2/6/2025 11:45:46,3,First-year
2/6/2025 11:45:48,2,Sophomore
2/6/2025 11:45:50,3,Junior
2/6/2025 11:45:50,3,Sophomore
2/6/2025 11:45:50,4,First-year
2/6/2025 11:45:50,3,Sophomore
2/6/2025 11:45:52,2,First-year
2/6/2025 11:45:53,3,First-year
2/6/2025 11:45:53,2,Junior
2/6/2025 11:45:54,3,Sophomore
2/6/2025 11:45:54,3,Senior
2/6/2025 11:45:55,3,Junior
2/6/2025 11:45:55,3,First-year
2/6/2025 11:45:56,2,Sophomore
2/6/2025 11:45:57,2,Senior
2/6/2025 11:45:59,3,First-year
2/6/2025 11:46:00,3,First-year
2/6/2025 11:46:01,2,First-year
2/6/2025 11:46:02,2,Sophomore
2/6/2025 11:46:03,4,Sophomore
2/6/2025 11:46:03,2,Sophomore
2/6/2025 11:46:04,Two,Sophomore
2/6/2025 11:46:05,4,First-year
2/6/2025 11:46:08,2,First-year
2/6/2025 11:46:08,4,First-year
2/6/2025 11:46:09,3,Sophomore
2/6/2025 11:46:11,2,Sophomore
2/6/2025 11:46:12,3,First-year
2/6/2025 11:46:16,Two,Junior
2/6/2025 11:46:17,3,First-year
2/6/2025 11:46:19,2,First-year
2/6/2025 11:46:23,2,Junior
2/6/2025 11:46:24,Three,Sophomore
2/6/2025 11:46:25,3,First-year
2/6/2025 11:46:28,3,Sophomore
2/6/2025 11:46:30,3,First-year
2/6/2025 11:46:33,2,Sophomore
2/6/2025 11:46:34,3,Sophomore
2/6/2025 11:46:37,3,Sophomore
2/6/2025 11:46:38,1,Junior
2/6/2025 11:46:41,1,Senior
2/6/2025 11:46:42,1,Senior
2/6/2025 11:46:44,2,First-year
2/6/2025 11:46:47,3,First-year
2/6/2025 11:46:50,5,Sophomore
2/6/2025 11:46:50,4,First-year
2/6/2025 11:46:54,2,Senior
2/6/2025 11:47:04,3,Sophomore
2/6/2025 11:47:07,3,First-year
2/6/2025 11:47:09,3,First-year
2/6/2025 11:47:12,3,First-year
2/6/2025 11:47:13,3,Senior
2/6/2025 11:47:14,4,Senior
2/6/2025 11:47:15,3,First-year
2/6/2025 11:47:16,3,First-year
2/6/2025 11:47:17,3,Sophomore
2/6/2025 11:47:19,4,First-year
2/6/2025 11:47:20,2,First-year
2/6/2025 11:47:20,2,First-year
2/6/2025 11:47:26,1,Junior
2/6/2025 11:47:27,3,First-year
2/6/2025 11:47:28,2,Junior
2/6/2025 11:47:32,3,Sophomore
2/6/2025 11:47:32,3,Sophomore
2/6/2025 11:47:35,Two,Sophomore
2/6/2025 11:47:39,3,First-year
2/6/2025 11:47:41,3,Junior
2/6/2025 11:47:47,4,Sophomore
2/6/2025 11:47:54,3,Sophomore
2/6/2025 11:47:56,2,Junior
2/6/2025 11:48:14,3,First-year
2/6/2025 11:48:14,3,Junior
2/6/2025 11:48:17,3,Sophomore
2/6/2025 11:48:23,4,First-year
2/6/2025 11:48:25,4,Sophomore
2/6/2025 11:48:28,4,First-year
2/6/2025 11:48:32,3,Sophomore
2/6/2025 11:48:34,3,Sophomore
2/6/2025 11:48:38,3,Sophomore
2/6/2025 11:48:49,2,First-year
2/6/2025 11:48:53,3,First-year
2/6/2025 11:49:05,Two plus a chemistry lab ,Sophomore
2/6/2025 11:49:35,4,Sophomore
2/6/2025 11:49:49,2,Sophomore
2/6/2025 11:49:55,2 -3 ,Junior
2/6/2025 11:50:04,3,Sophomore
2/6/2025 11:50:42,1,Sophomore
2/6/2025 11:51:11,3,Sophomore
2/6/2025 11:52:10,3,Sophomore
2/6/2025 11:52:11,4,Sophomore
2/6/2025 11:52:27,3,Sophomore
2/6/2025 11:52:53,2,Junior
2/6/2025 11:53:01,3,Junior
2/6/2025 11:53:11,3,First-year
2/6/2025 11:54:09,4,First-year
2/6/2025 11:54:09,Four,Sophomore
2/6/2025 11:54:34,4,First-year
2/6/2025 11:55:14,3,Sophomore
2/6/2025 11:57:08,1,Junior
2/6/2025 11:57:52,3,First-year
2/6/2025 11:58:00,2,First-year
2/6/2025 12:03:18,three,Sophomore
2/6/2025 12:04:00,3,Sophomore
2/6/2025 12:07:44,3,Junior
2/6/2025 12:20:15,4,First-year
2/6/2025 12:36:56,1,Sophomore
2/6/2025 12:46:07,4,First-year
2/6/2025 12:47:32,3,Sophomore
2/6/2025 13:14:08,2,Junior
2/6/2025 13:17:30,2,Sophomore
2/6/2025 13:34:37,3 classes ,First-year